From_To	Customer_0	Customer_1	Customer_2	Customer_3	Customer_4	Customer_5	Customer_6	Supply	Cost
Plant_0	8,11	7,38	8,52	12,38	7,39	7,63	8,54	544	5010
Plant_1	10,29	1,45	5,04	5,99	11,6	2,07	9,85	621	5220
Plant_2	10,57	3,52	4,19	7,41	9,49	2,57	7,88	635	6430
Plant_3	7,44	9,98	11,46	15,25	8,05	10,57	10,51	549	6000
Plant_4	21,64	11,92	7,67	7,49	16,5	9,34	12,07	534	4830
Plant_5	19,91	10,02	7,94	4,57	17,76	8,21	13,75	676	6370
Plant_6	22,56	12,77	8,78	8,01	17,65	10,3	13,2	616	6100
Plant_7	2,9	7,09	11,87	12,78	13,32	9,42	14,11	603	5500
Plant_8	3,71	6,36	11,81	11,85	14,49	9,06	14,82	634	5220
Plant_9	10,33	10,52	10,22	15,09	5,02	10,2	7,87	564	6150
Demand	553	592	472	495	504	437	634		
